report_date,mall,ad_type,landing,url,campaign,adgroup,keyword,device,impressions,clicks,cost,conversions,conversion_value
2026-01-20,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,3,0,0,0,0
2026-01-22,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,2,0,0,0,0
2026-01-25,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,1,0,0,0,0
2026-01-27,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,1,0,0,0,0
2026-01-28,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,2,0,0,0,0
2026-01-30,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,1,0,0,0,0
2026-01-31,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,1,0,0,0,0
2026-02-02,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,1,0,0,0,0
2026-02-03,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,2,0,0,0,0
2026-02-04,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,6,0,0,0,0
2026-02-05,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,3,0,0,0,0
2026-02-06,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,1,0,0,0,0
2026-02-08,sprint,파워링크,자사몰,https://sprintenergy.kr,NSA_에너지드링크_자사몰_파워링크_PC,01.파워링크_에너지드링크_자상호키워드_PC,스프린트에너지드링크,,3,0,0,0,0
